#Compound	C.ring	C.other	N.ring	N.other	O.ring	O.other	P	S	X	#.of.Ring
cav1m17_AQ4-CHEMBL122245-0.pdb	17	2	4	2	0	1	0	0	1	4
cav1m17_AQ4-CHEMBL125920-0.pdb	17	4	4	1	0	2	0	0	0	4
cav1m17_AQ4-CHEMBL162223-0.pdb	18	2	4	2	0	0	0	0	1	4
cav1m17_AQ4-CHEMBL162719-0.pdb	17	1	5	1	0	0	0	0	1	4
cav1m17_AQ4-CHEMBL165508-0.pdb	18	1	4	2	0	0	0	0	1	4
cav1m17_AQ4-CHEMBL166307-0.pdb	17	4	5	3	0	0	0	0	1	4
cav1m17_AQ4-CHEMBL179164-0.pdb	23	9	2	4	0	4	0	1	0	5
cav1m17_AQ4-CHEMBL179577-0.pdb	21	10	1	5	0	2	0	0	1	4
cav1m17_AQ4-CHEMBL202556-0.pdb	16	4	4	2	1	1	0	0	1	5
cav1m17_AQ4-CHEMBL203661-0.pdb	16	5	4	2	1	1	0	0	1	5
cav1m17_AQ4-CHEMBL206955-0.pdb	17	3	3	2	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL207130-0.pdb	18	5	3	3	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL207815-0.pdb	16	7	3	3	0	3	0	0	1	5
cav1m17_AQ4-CHEMBL213874-0.pdb	18	3	3	1	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL225929-0.pdb	20	5	2	5	0	0	0	0	2	4
cav1m17_AQ4-CHEMBL255170-0.pdb	21	3	6	1	0	3	0	0	1	5
cav1m17_AQ4-CHEMBL255376-0.pdb	22	2	5	1	1	2	0	0	1	6
cav1m17_AQ4-CHEMBL257860-0.pdb	21	4	6	1	0	3	0	0	1	5
cav1m17_AQ4-CHEMBL258940-0.pdb	16	1	5	2	0	0	0	0	1	5
cav1m17_AQ4-CHEMBL28148-0.pdb	17	5	3	1	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL283088-0.pdb	17	4	4	1	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL307209-0.pdb	24	0	3	1	0	0	0	0	1	5
cav1m17_AQ4-CHEMBL31656-0.pdb	16	6	4	2	1	2	0	0	1	5
cav1m17_AQ4-CHEMBL330323-0.pdb	17	2	3	1	0	2	0	0	0	4
cav1m17_AQ4-CHEMBL340862-0.pdb	17	4	3	1	0	2	0	1	0	4
cav1m17_AQ4-CHEMBL378370-0.pdb	17	3	3	2	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL40130-0.pdb	20	2	4	1	1	0	0	0	1	5
cav1m17_AQ4-CHEMBL402553-0.pdb	20	3	6	1	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL417420-0.pdb	16	3	5	2	1	0	0	0	1	4
cav1m17_AQ4-CHEMBL417478-0.pdb	16	7	4	2	1	1	0	0	1	5
cav1m17_AQ4-CHEMBL426051-0.pdb	19	10	1	4	0	3	0	1	1	4
cav1m17_AQ4-CHEMBL461967-0.pdb	18	4	3	2	0	2	0	0	1	5
cav1m17_AQ4-CHEMBL510597-0.pdb	17	7	4	1	1	1	0	0	1	4
cav1m17_AQ4-CHEMBL53711-0.pdb	13	2	3	2	0	0	0	0	1	3
cav1m17_AQ4-CHEMBL94109-0.pdb	24	4	4	2	0	1	0	0	1	5
cav1m17_AQ4-ZINC00058306-0.pdb	16	2	0	2	2	1	0	1	0	4
cav1m17_AQ4-ZINC00087485-0.pdb	12	5	2	1	0	1	0	1	0	3
cav1m17_AQ4-ZINC00120580-0.pdb	14	3	0	3	0	2	0	1	0	3
cav1m17_AQ4-ZINC00159821-0.pdb	12	0	0	2	0	2	0	1	2	2
cav1m17_AQ4-ZINC00203556-0.pdb	16	4	0	2	3	0	0	0	0	4
cav1m17_AQ4-ZINC00207985-0.pdb	15	1	0	3	1	1	0	0	0	3
cav1m17_AQ4-ZINC00226861-0.pdb	12	2	3	0	0	1	0	0	1	5
cav1m17_AQ4-ZINC00242247-0.pdb	15	1	0	3	1	1	0	0	0	3
cav1m17_AQ4-ZINC00279577-0.pdb	8	6	2	0	0	3	0	0	0	3
cav1m17_AQ4-ZINC00333474-0.pdb	10	6	0	1	1	3	0	0	0	2
cav1m17_AQ4-ZINC00339952-0.pdb	6	7	1	1	0	1	0	0	3	1
cav1m17_AQ4-ZINC00341030-0.pdb	17	2	0	2	0	2	0	0	0	3
cav1m17_AQ4-ZINC00352141-0.pdb	12	2	2	0	0	3	0	0	0	4
cav1m17_AQ4-ZINC00373854-0.pdb	15	2	2	0	0	2	0	0	0	4
cav1m17_AQ4-ZINC00382416-0.pdb	16	4	3	0	0	2	0	0	0	4
cav1m17_AQ4-ZINC00410810-0.pdb	15	4	1	1	0	1	0	0	0	3
cav1m17_AQ4-ZINC00495252-0.pdb	17	2	1	3	0	0	0	1	0	4
cav1m17_AQ4-ZINC00496313-0.pdb	15	3	1	2	1	1	0	1	0	4
cav1m17_AQ4-ZINC00507289-0.pdb	15	2	2	1	0	2	0	0	0	3
cav1m17_AQ4-ZINC00587022-0.pdb	12	2	0	2	0	2	0	2	1	3
cav1m17_AQ4-ZINC00602908-0.pdb	23	0	4	0	0	2	0	1	0	7
cav1m17_AQ4-ZINC00632573-0.pdb	18	1	0	2	2	1	0	0	1	4
cav1m17_AQ4-ZINC00664243-0.pdb	13	5	1	4	0	0	0	1	1	3
cav1m17_AQ4-ZINC00706744-0.pdb	13	2	2	0	0	3	0	0	0	4
cav1m17_AQ4-ZINC00718020-0.pdb	16	2	0	2	2	1	0	0	0	5
cav1m17_AQ4-ZINC00745394-0.pdb	21	7	2	3	0	2	0	0	0	4
cav1m17_AQ4-ZINC00784471-0.pdb	16	5	1	1	2	1	0	0	0	4
cav1m17_AQ4-ZINC00804104-0.pdb	15	5	0	3	1	0	0	0	0	3
cav1m17_AQ4-ZINC00866771-0.pdb	12	5	3	1	2	1	0	0	0	5
cav1m17_AQ4-ZINC00944881-0.pdb	16	1	2	3	0	1	0	2	0	4
cav1m17_AQ4-ZINC00958103-0.pdb	19	3	1	0	1	3	0	0	0	5
cav1m17_AQ4-ZINC01017574-0.pdb	19	5	4	1	0	2	0	2	0	5
