#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-CHEMBL122245-0.pdb	-105.546	-88.9756	-16.5701	0	21.037
cav1m17_AQ4-CHEMBL125920-0.pdb	-104.883	-89.7359	-15.1471	0	22
cav1m17_AQ4-CHEMBL162223-0.pdb	-94.1423	-83.2542	-10.8881	0	22.2222
cav1m17_AQ4-CHEMBL162719-0.pdb	-79.0346	-72.8573	-6.17733	0	21.28
cav1m17_AQ4-CHEMBL165508-0.pdb	-96.0994	-82.4728	-13.6266	0	20.3846
cav1m17_AQ4-CHEMBL166307-0.pdb	-94.56	-82.9036	-11.6564	0	20.6667
cav1m17_AQ4-CHEMBL179164-0.pdb	-115.142	-95.5993	-19.5424	0	17.1163
cav1m17_AQ4-CHEMBL179577-0.pdb	-117.225	-110.225	-7	0	19.65
cav1m17_AQ4-CHEMBL202556-0.pdb	-95.5684	-76.6184	-18.95	0	18.7241
cav1m17_AQ4-CHEMBL203661-0.pdb	-94.4316	-81.7121	-12.7194	0	18.0333
cav1m17_AQ4-CHEMBL206955-0.pdb	-93.1094	-80.8726	-12.2367	0	19.5
cav1m17_AQ4-CHEMBL207130-0.pdb	-98.4582	-84.2215	-14.2367	0	17.9688
cav1m17_AQ4-CHEMBL207815-0.pdb	-112.182	-93.2563	-18.9259	0	20.9697
cav1m17_AQ4-CHEMBL213874-0.pdb	-91.1573	-77.9046	-13.2527	0	18.5714
cav1m17_AQ4-CHEMBL225929-0.pdb	-105.768	-95.5868	-10.1813	0	19.6176
cav1m17_AQ4-CHEMBL255170-0.pdb	-113.861	-92.0076	-21.8536	0	19.5714
cav1m17_AQ4-CHEMBL255376-0.pdb	-115.104	-93.4591	-21.6445	0	19.7647
cav1m17_AQ4-CHEMBL257860-0.pdb	-120.588	-94.5095	-26.079	0	20.4722
cav1m17_AQ4-CHEMBL258940-0.pdb	-97.854	-77.3856	-20.4684	0	19.64
cav1m17_AQ4-CHEMBL28148-0.pdb	-101.674	-98.5306	-3.1433	0	22.1034
cav1m17_AQ4-CHEMBL283088-0.pdb	-98.1807	-91.3131	-6.86758	0	21.3103
cav1m17_AQ4-CHEMBL307209-0.pdb	-101.354	-90.2395	-11.114	0	20.2414
cav1m17_AQ4-CHEMBL31656-0.pdb	-107.176	-103.676	-3.5	0	20.5
cav1m17_AQ4-CHEMBL330323-0.pdb	-97.5973	-87.1921	-10.4052	0	23
cav1m17_AQ4-CHEMBL340862-0.pdb	-90.8879	-67.0438	-23.8441	0	21.3929
cav1m17_AQ4-CHEMBL378370-0.pdb	-95.7989	-79.589	-16.2099	0	24.5
cav1m17_AQ4-CHEMBL40130-0.pdb	-94.1281	-82.2802	-11.8479	0	18.1034
cav1m17_AQ4-CHEMBL402553-0.pdb	-111.331	-94.3525	-16.9783	0	18.7879
cav1m17_AQ4-CHEMBL417420-0.pdb	-101.395	-95.7903	-5.60498	0	22.6429
cav1m17_AQ4-CHEMBL417478-0.pdb	-98.5008	-89.1792	-9.32167	0	19.25
cav1m17_AQ4-CHEMBL426051-0.pdb	-118.054	-102.391	-15.6629	0	19
