#Ligand;TotalEnergy;Aktif
cav1m17_AQ4-ZINC38660047-0.pdb;-131.419;0
cav1m17_AQ4-ZINC02997965-0.pdb;-125.148;0
cav1m17_AQ4-ZINC21019068-0.pdb;-123.898;0
cav1m17_AQ4-ZINC19973163-0.pdb;-123.294;0
cav1m17_AQ4-ZINC39533936-0.pdb;-122.687;0
cav1m17_AQ4-ZINC35971804-0.pdb;-122.628;0
cav1m17_AQ4-ZINC20042134-0.pdb;-120.812;0
cav1m17_AQ4-CHEMBL257860-0.pdb;-120.588;1
cav1m17_AQ4-ZINC01456575-0.pdb;-120.263;0
cav1m17_AQ4-ZINC00745394-0.pdb;-119.494;0
cav1m17_AQ4-ZINC29848136-0.pdb;-119.058;0
cav1m17_AQ4-ZINC13607877-0.pdb;-118.653;0
cav1m17_AQ4-ZINC59831428-0.pdb;-118.582;0
cav1m17_AQ4-ZINC11121065-0.pdb;-118.217;0
cav1m17_AQ4-CHEMBL426051-0.pdb;-118.054;1
cav1m17_AQ4-ZINC35671861-0.pdb;-117.499;0
cav1m17_AQ4-CHEMBL179577-0.pdb;-117.225;1
cav1m17_AQ4-ZINC01017574-0.pdb;-116.934;0
cav1m17_AQ4-ZINC17721002-0.pdb;-116.91;0
cav1m17_AQ4-ZINC35834826-0.pdb;-116.857;0
cav1m17_AQ4-CHEMBL510597-0.pdb;-116.707;1
cav1m17_AQ4-ZINC64653807-0.pdb;-116.564;0
cav1m17_AQ4-ZINC13031556-0.pdb;-116.25;0
cav1m17_AQ4-ZINC30058431-0.pdb;-116.17;0
cav1m17_AQ4-ZINC01121360-0.pdb;-116.138;0
cav1m17_AQ4-ZINC06882813-0.pdb;-115.823;0
cav1m17_AQ4-ZINC65192374-0.pdb;-115.536;0
cav1m17_AQ4-ZINC13498766-0.pdb;-115.34;0
cav1m17_AQ4-CHEMBL179164-0.pdb;-115.142;1
cav1m17_AQ4-CHEMBL255376-0.pdb;-115.104;1
cav1m17_AQ4-ZINC63384315-0.pdb;-115.065;0
cav1m17_AQ4-ZINC10611360-0.pdb;-114.96;0
cav1m17_AQ4-ZINC59040273-0.pdb;-114.905;0
cav1m17_AQ4-ZINC08994971-0.pdb;-114.797;0
cav1m17_AQ4-ZINC34849575-0.pdb;-114.773;0
cav1m17_AQ4-ZINC13065058-0.pdb;-114.701;0
cav1m17_AQ4-ZINC63746698-0.pdb;-114.688;0
cav1m17_AQ4-ZINC02775874-0.pdb;-114.524;0
cav1m17_AQ4-ZINC56939982-0.pdb;-114.179;0
cav1m17_AQ4-ZINC35137464-0.pdb;-114.15;0
cav1m17_AQ4-CHEMBL255170-0.pdb;-113.861;1
cav1m17_AQ4-ZINC09700484-0.pdb;-113.745;0
cav1m17_AQ4-ZINC09877878-0.pdb;-113.626;0
cav1m17_AQ4-ZINC36494258-0.pdb;-113.563;0
cav1m17_AQ4-ZINC18057504-0.pdb;-113.5;0
cav1m17_AQ4-ZINC45512782-0.pdb;-113.138;0
cav1m17_AQ4-ZINC09306751-0.pdb;-113.047;0
cav1m17_AQ4-ZINC34979259-0.pdb;-113.026;0
cav1m17_AQ4-ZINC43441262-0.pdb;-112.836;0
cav1m17_AQ4-ZINC12524988-0.pdb;-112.719;0
cav1m17_AQ4-ZINC36575930-0.pdb;-112.65;0
cav1m17_AQ4-ZINC03461803-0.pdb;-112.352;0
cav1m17_AQ4-CHEMBL207815-0.pdb;-112.182;1
cav1m17_AQ4-ZINC13720009-0.pdb;-112.088;0
cav1m17_AQ4-ZINC11916701-0.pdb;-111.963;0
cav1m17_AQ4-ZINC38806383-0.pdb;-111.942;0
cav1m17_AQ4-ZINC36591771-0.pdb;-111.87;0
cav1m17_AQ4-ZINC11854536-0.pdb;-111.721;0
cav1m17_AQ4-ZINC16804781-0.pdb;-111.65;0
cav1m17_AQ4-ZINC20407303-0.pdb;-111.567;0
cav1m17_AQ4-ZINC04809695-0.pdb;-111.425;0
cav1m17_AQ4-CHEMBL402553-0.pdb;-111.331;1
cav1m17_AQ4-ZINC39652766-0.pdb;-111.172;0
cav1m17_AQ4-ZINC39687193-0.pdb;-111.157;0
cav1m17_AQ4-ZINC22841734-0.pdb;-111.065;0
cav1m17_AQ4-ZINC36430621-0.pdb;-111.033;0
cav1m17_AQ4-ZINC40915975-0.pdb;-111.021;0
cav1m17_AQ4-ZINC20835610-0.pdb;-110.953;0
cav1m17_AQ4-ZINC07456400-0.pdb;-110.882;0
cav1m17_AQ4-ZINC40018312-0.pdb;-110.697;0
cav1m17_AQ4-ZINC14478121-0.pdb;-110.69;0
cav1m17_AQ4-ZINC20479187-0.pdb;-110.676;0
cav1m17_AQ4-ZINC63097159-0.pdb;-110.65;0
cav1m17_AQ4-ZINC63194323-0.pdb;-110.644;0
cav1m17_AQ4-ZINC16335628-0.pdb;-110.613;0
cav1m17_AQ4-ZINC64042780-0.pdb;-110.558;0
cav1m17_AQ4-ZINC08769529-0.pdb;-110.522;0
cav1m17_AQ4-ZINC35129751-0.pdb;-110.505;0
cav1m17_AQ4-ZINC39336737-0.pdb;-110.411;0
cav1m17_AQ4-ZINC09886227-0.pdb;-110.348;0
cav1m17_AQ4-ZINC63279521-0.pdb;-110.095;0
cav1m17_AQ4-ZINC11842213-0.pdb;-109.682;0
cav1m17_AQ4-ZINC04544520-0.pdb;-109.672;0
cav1m17_AQ4-ZINC39694037-0.pdb;-109.666;0
cav1m17_AQ4-ZINC23291286-0.pdb;-109.61;0
cav1m17_AQ4-ZINC06563483-0.pdb;-109.599;0
cav1m17_AQ4-ZINC40146150-0.pdb;-109.515;0
cav1m17_AQ4-ZINC04290112-0.pdb;-109.513;0
cav1m17_AQ4-ZINC09672524-0.pdb;-109.384;0
cav1m17_AQ4-ZINC38659215-0.pdb;-109.383;0
cav1m17_AQ4-ZINC10810214-0.pdb;-109.211;0
cav1m17_AQ4-ZINC03345833-0.pdb;-109.089;0
cav1m17_AQ4-ZINC09309420-0.pdb;-109.064;0
cav1m17_AQ4-ZINC24089792-0.pdb;-109.048;0
cav1m17_AQ4-ZINC39637464-0.pdb;-109.047;0
cav1m17_AQ4-ZINC38660051-0.pdb;-108.995;0
cav1m17_AQ4-ZINC21736308-0.pdb;-108.957;0
cav1m17_AQ4-ZINC09691845-0.pdb;-108.927;0
cav1m17_AQ4-ZINC08799036-0.pdb;-108.785;0
cav1m17_AQ4-ZINC65190087-0.pdb;-108.77;0
cav1m17_AQ4-ZINC13502589-0.pdb;-108.769;0
cav1m17_AQ4-ZINC39931030-0.pdb;-108.731;0
cav1m17_AQ4-ZINC59768644-0.pdb;-108.664;0
cav1m17_AQ4-ZINC64202853-0.pdb;-108.644;0
cav1m17_AQ4-ZINC21168024-0.pdb;-108.41;0
cav1m17_AQ4-ZINC39674402-0.pdb;-108.41;0
cav1m17_AQ4-ZINC08861223-0.pdb;-108.03;0
cav1m17_AQ4-ZINC13149261-0.pdb;-108.007;0
cav1m17_AQ4-ZINC54200833-0.pdb;-108.001;0
cav1m17_AQ4-ZINC04084346-0.pdb;-107.975;0
cav1m17_AQ4-ZINC35137539-0.pdb;-107.889;0
cav1m17_AQ4-ZINC65477555-0.pdb;-107.784;0
cav1m17_AQ4-ZINC14253501-0.pdb;-107.761;0
cav1m17_AQ4-ZINC13548627-0.pdb;-107.628;0
cav1m17_AQ4-ZINC13770689-0.pdb;-107.626;0
cav1m17_AQ4-ZINC45324681-0.pdb;-107.591;0
cav1m17_AQ4-ZINC08876707-0.pdb;-107.586;0
cav1m17_AQ4-ZINC64057478-0.pdb;-107.495;0
cav1m17_AQ4-ZINC39694744-0.pdb;-107.483;0
cav1m17_AQ4-ZINC11254228-0.pdb;-107.441;0
cav1m17_AQ4-ZINC21161989-0.pdb;-107.371;0
cav1m17_AQ4-ZINC60238922-0.pdb;-107.329;0
cav1m17_AQ4-ZINC14878995-0.pdb;-107.292;0
cav1m17_AQ4-ZINC36504928-0.pdb;-107.285;0
cav1m17_AQ4-ZINC39361903-0.pdb;-107.244;0
cav1m17_AQ4-ZINC57661318-0.pdb;-107.239;0
cav1m17_AQ4-ZINC09406356-0.pdb;-107.234;0
cav1m17_AQ4-ZINC39672306-0.pdb;-107.21;0
cav1m17_AQ4-CHEMBL31656-0.pdb;-107.176;1
cav1m17_AQ4-ZINC06442362-0.pdb;-107.158;0
cav1m17_AQ4-ZINC39330637-0.pdb;-106.918;0
cav1m17_AQ4-ZINC39957699-0.pdb;-106.914;0
cav1m17_AQ4-ZINC06149257-0.pdb;-106.807;0
cav1m17_AQ4-ZINC38650642-0.pdb;-106.74;0
cav1m17_AQ4-ZINC16013858-0.pdb;-106.721;0
cav1m17_AQ4-ZINC16605229-0.pdb;-106.579;0
cav1m17_AQ4-ZINC40070798-0.pdb;-106.466;0
cav1m17_AQ4-ZINC04926711-0.pdb;-106.46;0
cav1m17_AQ4-ZINC63667283-0.pdb;-106.281;0
cav1m17_AQ4-ZINC39635108-0.pdb;-106.145;0
cav1m17_AQ4-ZINC38658212-0.pdb;-106.052;0
cav1m17_AQ4-ZINC44973715-0.pdb;-106.052;0
cav1m17_AQ4-ZINC14531275-0.pdb;-106.034;0
cav1m17_AQ4-ZINC14998400-0.pdb;-105.998;0
cav1m17_AQ4-ZINC36586744-0.pdb;-105.995;0
cav1m17_AQ4-ZINC20911547-0.pdb;-105.956;0
cav1m17_AQ4-ZINC64392205-0.pdb;-105.951;0
cav1m17_AQ4-ZINC12485717-0.pdb;-105.836;0
cav1m17_AQ4-ZINC36858654-0.pdb;-105.822;0
cav1m17_AQ4-ZINC39485918-0.pdb;-105.811;0
cav1m17_AQ4-CHEMBL225929-0.pdb;-105.768;1
cav1m17_AQ4-ZINC39668928-0.pdb;-105.75;0
cav1m17_AQ4-ZINC40056654-0.pdb;-105.66;0
cav1m17_AQ4-ZINC63187664-0.pdb;-105.595;0
cav1m17_AQ4-ZINC63746675-0.pdb;-105.567;0
cav1m17_AQ4-ZINC25035313-0.pdb;-105.557;0
cav1m17_AQ4-CHEMBL122245-0.pdb;-105.546;1
cav1m17_AQ4-ZINC38619325-0.pdb;-105.54;0
cav1m17_AQ4-ZINC06149082-0.pdb;-105.52;0
cav1m17_AQ4-ZINC35313475-0.pdb;-105.455;0
cav1m17_AQ4-ZINC16043699-0.pdb;-105.43;0
cav1m17_AQ4-ZINC66991053-0.pdb;-105.358;0
cav1m17_AQ4-ZINC22681271-0.pdb;-105.339;0
cav1m17_AQ4-ZINC19661496-0.pdb;-105.264;0
cav1m17_AQ4-ZINC22188222-0.pdb;-105.204;0
cav1m17_AQ4-ZINC12039990-0.pdb;-105.194;0
cav1m17_AQ4-ZINC32753272-0.pdb;-105.167;0
cav1m17_AQ4-ZINC09064940-0.pdb;-105.157;0
cav1m17_AQ4-ZINC63869720-0.pdb;-105.153;0
cav1m17_AQ4-ZINC39596567-0.pdb;-105.1;0
cav1m17_AQ4-ZINC08088423-0.pdb;-105.031;0
cav1m17_AQ4-ZINC23061314-0.pdb;-105.021;0
cav1m17_AQ4-ZINC59447193-0.pdb;-104.928;0
cav1m17_AQ4-ZINC39519160-0.pdb;-104.892;0
cav1m17_AQ4-CHEMBL125920-0.pdb;-104.883;1
cav1m17_AQ4-ZINC21349003-0.pdb;-104.792;0
cav1m17_AQ4-ZINC67471693-0.pdb;-104.786;0
cav1m17_AQ4-ZINC19568197-0.pdb;-104.778;0
cav1m17_AQ4-ZINC22413107-0.pdb;-104.71;0
cav1m17_AQ4-ZINC15275237-0.pdb;-104.686;0
cav1m17_AQ4-ZINC02246880-0.pdb;-104.666;0
cav1m17_AQ4-ZINC14185134-0.pdb;-104.613;0
cav1m17_AQ4-ZINC32759608-0.pdb;-104.613;0
cav1m17_AQ4-ZINC13503198-0.pdb;-104.588;0
cav1m17_AQ4-ZINC16809106-0.pdb;-104.538;0
cav1m17_AQ4-ZINC10232781-0.pdb;-104.511;0
cav1m17_AQ4-ZINC14880237-0.pdb;-104.481;0
cav1m17_AQ4-ZINC11950117-0.pdb;-104.468;0
cav1m17_AQ4-ZINC12885104-0.pdb;-104.377;0
cav1m17_AQ4-ZINC67550303-0.pdb;-104.317;0
