#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-28-0.pdb	-77.9318	-69.9826	-7.94922	0	23.7895
cav1m17_AQ4-303-0.pdb	-70.3566	-62.2463	-8.1103	0	16.8889
cav1m17_AQ4-524-0.pdb	-90.3519	-71.1152	-19.2366	0	27.9412
cav1m17_AQ4-578-0.pdb	-106.957	-99.1894	-7.7677	0	16.7368
cav1m17_AQ4-792-0.pdb	-77.4309	-64.7688	-12.662	0	27.2632
cav1m17_AQ4-1159-0.pdb	-97.5408	-86.6794	-10.8613	0	22.2222
cav1m17_AQ4-1190-0.pdb	-91.6277	-89.1642	-2.46342	0	22.1538
cav1m17_AQ4-1438-0.pdb	-90.3891	-78.2942	-12.0949	0	21.2593
cav1m17_AQ4-1501-0.pdb	-80.6828	-73.1116	-7.57125	0	26.25
cav1m17_AQ4-1733-0.pdb	-89.897	-86.4103	-3.48676	0	20.72
cav1m17_AQ4-1781-0.pdb	-92.794	-86.1852	-6.60873	0	20.3077
cav1m17_AQ4-9501716-0.pdb	-80.7607	-68.9345	-11.8262	0	19.9167
cav1m17_AQ4-13230341-0.pdb	-98.9372	-85.2411	-13.6962	0	20.3929
cav1m17_AQ4-13230342-0.pdb	-92.0977	-85.1358	-6.96182	0	19.1786
cav1m17_AQ4-21826123-0.pdb	-81.5039	-74.5788	-6.92508	0	19.04
cav1m17_AQ4-33236591-0.pdb	-90.3098	-73.257	-17.0527	0	18.4615
cav1m17_AQ4-34007762-0.pdb	-86.577	-77.4549	-9.12211	0	20.32
cav1m17_AQ4-38449852-0.pdb	-98.0678	-86.14	-11.9277	0	18.2188
cav1m17_AQ4-48271614-0.pdb	-96.8183	-75.2782	-21.5401	0	20.9615
cav1m17_AQ4-48299079-0.pdb	-98.1618	-77.1662	-20.9956	0	22.6538
cav1m17_AQ4-61056455-0.pdb	-91.0882	-84.9503	-6.13795	0	19.8889
cav1m17_AQ4-63248158-0.pdb	-87.2112	-74.39	-12.8212	0	20.375
cav1m17_AQ4-66066361-0.pdb	-116.689	-94.6767	-22.0119	0	16.425
cav1m17_AQ4-72315533-0.pdb	-97.6483	-88.0215	-9.62677	0	16.8235
cav1m17_AQ4-74423080-0.pdb	-100.523	-94.5234	-6	0	23
cav1m17_AQ4-74463386-0.pdb	-86.1884	-79.1884	-7	0	20.1538
cav1m17_AQ4-78452518-0.pdb	-74.0016	-65.0634	-8.93813	0	22.7895
cav1m17_AQ4-78650994-0.pdb	-81.2724	-67.927	-13.3454	0	19.8182
cav1m17_AQ4-80443341-0.pdb	-80.0377	-74.0377	-6	0	24.15
cav1m17_AQ4-80443347-0.pdb	-79.125	-68.4207	-10.7043	0	17.6522
cav1m17_AQ4-90092964-0.pdb	-83.118	-68.618	-14.5	0	25.1304
cav1m17_AQ4-92606055-0.pdb	-80.7331	-70.6145	-10.1186	0	25.5263
cav1m17_AQ4-95347324-0.pdb	-88.3074	-76.9353	-11.3721	0	17.2963
cav1m17_AQ4-97084569-0.pdb	-85.9455	-69.5627	-16.3828	0	24.4762
cav1m17_AQ4-110577998-0.pdb	-96.8713	-78.6533	-18.2179	0	17.7188
cav1m17_AQ4-121819829-0.pdb	-98.2694	-86.7579	-11.5115	0	26.3182
cav1m17_AQ4-133187963-0.pdb	-78.1118	-64.9028	-13.209	0	23.6842
cav1m17_AQ4-142796852-0.pdb	-87.9268	-69.0109	-18.9159	0	19.7391
cav1m17_AQ4-153817010-0.pdb	-86.7385	-77.3528	-9.38571	0	19.44
cav1m17_AQ4-154186123-0.pdb	-84.0482	-74.5275	-9.5207	0	20.7917
cav1m17_AQ4-175023581-0.pdb	-83.4887	-71.6966	-11.7921	0	22.24
cav1m17_AQ4-176205125-0.pdb	-91.4064	-81.7952	-9.61119	0	21.1538
cav1m17_AQ4-179933663-0.pdb	-87.9297	-70.9339	-16.9958	0	16.7931
cav1m17_AQ4-180880735-0.pdb	-84.1568	-77.1568	-7	0	18.4615
cav1m17_AQ4-185015159-0.pdb	-98.0864	-84.8612	-13.2252	0	20.7692
cav1m17_AQ4-190415177-0.pdb	-86.5392	-80.1556	-6.38359	0	20.72
cav1m17_AQ4-191957044-0.pdb	-84.5039	-76.0935	-8.41043	0	21.2917
cav1m17_AQ4-191958133-0.pdb	-80.787	-77.3694	-3.41763	0	22.7917
cav1m17_AQ4-192784709-0.pdb	-88.365	-78.6846	-9.68036	0	23.1154
cav1m17_AQ4-272474011-0.pdb	-76.3218	-57.0241	-19.2977	0	18.3636
cav1m17_AQ4-274568161-0.pdb	-93.2465	-69.1624	-24.084	0	29.6316
cav1m17_AQ4-275410872-0.pdb	-84.1634	-70.2657	-13.8977	0	19.16
cav1m17_AQ4-275521428-0.pdb	-97.045	-80.4986	-16.5464	0	19.2963
cav1m17_AQ4-276427411-0.pdb	-81.0957	-70.6821	-10.4136	0	20.8636
cav1m17_AQ4-281225689-0.pdb	-90.6605	-73.7912	-16.8693	0	22.84
cav1m17_AQ4-298341246-0.pdb	-80.8615	-67.2117	-13.6497	0	21.0435
cav1m17_AQ4-301241317-0.pdb	-95.039	-86.8481	-8.19089	0	23.56
cav1m17_AQ4-301606445-0.pdb	-83.527	-73.1927	-10.3343	0	22.3636
cav1m17_AQ4-301812130-0.pdb	-74.8966	-66.7451	-8.15149	0	20.2174
cav1m17_AQ4-301821417-0.pdb	-100.66	-77.6552	-23.0051	0	20.931
cav1m17_AQ4-301821418-0.pdb	-107.977	-88.242	-19.7346	0	20.069
cav1m17_AQ4-302587653-0.pdb	-94.1303	-75.1522	-18.9781	0	21.8462
cav1m17_AQ4-302865957-0.pdb	-97.5918	-88.0145	-9.57737	0	20.4074
cav1m17_AQ4-328610867-0.pdb	-107.738	-77.2145	-30.524	0	25.56
