Compound	Energy	VDW	HBond	Elec	
cav4mxo_DB8-CHEMBL101081-0.pdb	-109.399	-103.399	-6	0	
cav4mxo_DB8-CHEMBL102595-0.pdb	-109.075	-98.5748	-10.5	0	
cav4mxo_DB8-CHEMBL1088680-0.pdb	-107.967	-99.0342	-8.93239	0	
cav4mxo_DB8-CHEMBL1088681-0.pdb	-117.631	-107.152	-10.4793	0	
cav4mxo_DB8-CHEMBL112706-0.pdb	-104.72	-104.72	0	0	
cav4mxo_DB8-CHEMBL131725-0.pdb	-102.9	-89.5266	-13.3732	0	
cav4mxo_DB8-CHEMBL172518-0.pdb	-110.698	-99.3887	-11.3094	0	
cav4mxo_DB8-CHEMBL211079-0.pdb	-108.313	-104.813	-3.5	0	
cav4mxo_DB8-CHEMBL211647-0.pdb	-113.297	-103.772	-9.52538	0	
cav4mxo_DB8-CHEMBL213988-0.pdb	-92.4654	-85.4654	-7	0	
cav4mxo_DB8-CHEMBL290921-0.pdb	-108.66	-96.349	-12.311	0	
cav4mxo_DB8-CHEMBL339893-0.pdb	-113.903	-99.9049	-13.9982	0	
cav4mxo_DB8-CHEMBL360499-0.pdb	-113.445	-103.761	-9.68421	0	
cav4mxo_DB8-CHEMBL40557-0.pdb	-100.96	-90.4598	-10.5	0	
cav4mxo_DB8-CHEMBL418284-0.pdb	-109.309	-102.313	-6.99572	0	
cav4mxo_DB8-CHEMBL566577-0.pdb	-109.174	-98.8277	-10.3466	0	
cav4mxo_DB8-CHEMBL567018-0.pdb	-95.7168	-89.9531	-5.76365	0	
cav4mxo_DB8-CHEMBL569256-0.pdb	-104.638	-87.1378	-17.5	0	
cav4mxo_DB8-CHEMBL584054-0.pdb	-101.056	-90.5558	-10.5	0	
cav4mxo_DB8-CHEMBL584915-0.pdb	-107.111	-96.6105	-10.5	0	
cav4mxo_DB8-CHEMBL585666-0.pdb	-103.952	-95.6359	-8.31579	0	
cav4mxo_DB8-CHEMBL59850-0.pdb	-108.904	-94.3665	-14.538	0	
cav4mxo_DB8-ZINC00070731-0.pdb	-77.1318	-58.5249	-18.6069	0	
cav4mxo_DB8-ZINC00115797-0.pdb	-84.0055	-71.255	-12.7505	0	
cav4mxo_DB8-ZINC00160646-0.pdb	-70.537	-52.5914	-17.9456	0	
cav4mxo_DB8-ZINC00200605-0.pdb	-78.485	-59.5501	-18.9349	0	
cav4mxo_DB8-ZINC00205917-0.pdb	-83.6691	-66.5093	-17.1598	0	
cav4mxo_DB8-ZINC00295151-0.pdb	-73.2627	-53.8517	-19.411	0	
cav4mxo_DB8-ZINC00369160-0.pdb	-78.6966	-75.1966	-3.5	0	
cav4mxo_DB8-ZINC00550220-0.pdb	-88.4071	-74.454	-13.9531	0	
cav4mxo_DB8-ZINC00615939-0.pdb	-62.1817	-52.362	-9.81968	0	
cav4mxo_DB8-ZINC00616144-0.pdb	-78.5913	-70.863	-7.72828	0	
cav4mxo_DB8-ZINC00663552-0.pdb	-91.3736	-79.4181	-11.9555	0	
cav4mxo_DB8-ZINC00705606-0.pdb	-101.015	-87.0147	-14	0	
cav4mxo_DB8-ZINC00712251-0.pdb	-101.55	-89.0164	-12.5338	0	
cav4mxo_DB8-ZINC00720242-0.pdb	-71.83	-63.8398	-7.99016	0	
cav4mxo_DB8-ZINC00721265-0.pdb	-70.6475	-63.6475	-7	0	
cav4mxo_DB8-ZINC00752577-0.pdb	-90.0991	-81.038	-9.06111	0	
cav4mxo_DB8-ZINC00814231-0.pdb	-93.7136	-77.907	-15.8066	0	
cav4mxo_DB8-ZINC00818034-0.pdb	-87.5894	-73.2712	-14.3182	0	
cav4mxo_DB8-ZINC00938972-0.pdb	-84.9097	-74.19	-10.7197	0	
cav4mxo_DB8-ZINC00945140-0.pdb	-99.2975	-95.5825	-3.71496	0	
cav4mxo_DB8-ZINC01069570-0.pdb	-92.4706	-81.2708	-11.1998	0	
cav4mxo_DB8-ZINC01084150-0.pdb	-81.825	-72.5852	-10.0097	0.769923	
cav4mxo_DB8-ZINC01103341-0.pdb	-82.8563	-68.8557	-14.0006	0	
cav4mxo_DB8-ZINC01108522-0.pdb	-86.2663	-72.2663	-14	0	
cav4mxo_DB8-ZINC01396551-0.pdb	-82.9163	-76.6183	-6.29799	0	
cav4mxo_DB8-ZINC01620212-0.pdb	-75.9364	-58.5739	-17.3625	0	
cav4mxo_DB8-ZINC01641824-0.pdb	-87.3667	-80.2398	-7.12695	0	
cav4mxo_DB8-ZINC01652430-0.pdb	-70.1984	-51.0577	-19.1407	0	
cav4mxo_DB8-ZINC01719314-0.pdb	-98.8263	-92.989	-5.83729	0	
cav4mxo_DB8-ZINC01875342-0.pdb	-112.199	-81.6992	-30.5	0	
cav4mxo_DB8-ZINC01878213-0.pdb	-76.5226	-69.5847	-6.93788	0	
cav4mxo_DB8-ZINC01922677-0.pdb	-112.06	-91.125	-19.4908	-1.44398	
cav4mxo_DB8-ZINC02092445-0.pdb	-83.7435	-80.2435	-3.5	0	
cav4mxo_DB8-ZINC02102371-0.pdb	-102.327	-97.0988	-5.22842	0	
cav4mxo_DB8-ZINC02120961-0.pdb	-98.7318	-93.6859	-5.04594	0	
cav4mxo_DB8-ZINC02128081-0.pdb	-100.385	-85.0066	-15.3784	0	
cav4mxo_DB8-ZINC02129336-0.pdb	-103.33	-84.1466	-19.5325	0.348821	
cav4mxo_DB8-ZINC02166036-0.pdb	-78.4387	-67.025	-11.4137	0	
cav4mxo_DB8-ZINC02188849-0.pdb	-117.039	-93.7913	-22.2395	-1.00855	
cav4mxo_DB8-ZINC02190599-0.pdb	-68.9794	-57.8049	-11.1745	0	
