#C:/Users/KIMED 1/Documents/Junaidin/Docking/Senyawa Uji/Skrining Src/HasilsenyawaujiSrc/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcFarma/SrcHumFarROCuji/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-CHEMBL101081-0.pdb	-109.399	-103.399	-6	0	18.1795
cav4mxo_DB8-CHEMBL102595-0.pdb	-109.075	-98.5748	-10.5	0	18.4865
cav4mxo_DB8-CHEMBL1088680-0.pdb	-107.967	-99.0342	-8.93239	0	19.2571
cav4mxo_DB8-CHEMBL1088681-0.pdb	-117.631	-107.152	-10.4793	0	21.3333
cav4mxo_DB8-CHEMBL112706-0.pdb	-104.72	-104.72	0	0	18.7429
cav4mxo_DB8-CHEMBL131725-0.pdb	-102.9	-89.5266	-13.3732	0	17.8857
cav4mxo_DB8-CHEMBL172518-0.pdb	-110.698	-99.3887	-11.3094	0	20.0909
cav4mxo_DB8-CHEMBL211079-0.pdb	-108.313	-104.813	-3.5	0	18.7568
cav4mxo_DB8-CHEMBL211647-0.pdb	-113.298	-103.772	-9.52538	0	19.4211
cav4mxo_DB8-CHEMBL213988-0.pdb	-92.4654	-85.4654	-7	0	18.5
cav4mxo_DB8-CHEMBL290921-0.pdb	-108.66	-96.349	-12.311	0	17.9722
cav4mxo_DB8-CHEMBL339893-0.pdb	-113.903	-99.9049	-13.9982	0	19.9412
cav4mxo_DB8-CHEMBL360499-0.pdb	-113.445	-103.761	-9.68421	0	21.1818
cav4mxo_DB8-CHEMBL40557-0.pdb	-100.96	-90.4598	-10.5	0	17.5588
cav4mxo_DB8-CHEMBL418284-0.pdb	-109.309	-102.313	-6.99572	0	18.5946
cav4mxo_DB8-CHEMBL566577-0.pdb	-109.174	-98.8277	-10.3466	0	18.5946
cav4mxo_DB8-CHEMBL567018-0.pdb	-95.7167	-89.9531	-5.76365	0	17.6389
cav4mxo_DB8-CHEMBL569256-0.pdb	-104.638	-87.1378	-17.5	0	16.75
cav4mxo_DB8-CHEMBL584054-0.pdb	-101.056	-90.5558	-10.5	0	19.4545
cav4mxo_DB8-CHEMBL584915-0.pdb	-107.111	-96.6105	-10.5	0	18.3333
cav4mxo_DB8-CHEMBL585666-0.pdb	-103.952	-95.6359	-8.31579	0	18
cav4mxo_DB8-CHEMBL59850-0.pdb	-108.904	-94.3665	-14.538	0	20.3143
cav4mxo_DB8-ZINC00070731-0.pdb	-77.1318	-58.5249	-18.6069	0	18.4348
cav4mxo_DB8-ZINC00115797-0.pdb	-84.0055	-71.255	-12.7505	0	22.4783
cav4mxo_DB8-ZINC00160646-0.pdb	-70.537	-52.5914	-17.9456	0	19.8125
cav4mxo_DB8-ZINC00200605-0.pdb	-78.485	-59.5501	-18.9349	0	21.4211
cav4mxo_DB8-ZINC00205917-0.pdb	-83.6691	-66.5093	-17.1598	0	20
cav4mxo_DB8-ZINC00295151-0.pdb	-73.2626	-53.8517	-19.411	0	25.3333
cav4mxo_DB8-ZINC00369160-0.pdb	-78.6966	-75.1966	-3.5	0	23
cav4mxo_DB8-ZINC00550220-0.pdb	-88.4071	-74.454	-13.9531	0	20.9583
cav4mxo_DB8-ZINC00615939-0.pdb	-62.1816	-52.362	-9.81968	0	22.1875
cav4mxo_DB8-ZINC00616144-0.pdb	-78.5913	-70.863	-7.72828	0	25.3333
cav4mxo_DB8-ZINC00663552-0.pdb	-91.3735	-79.4181	-11.9555	0	16.3529
cav4mxo_DB8-ZINC00705606-0.pdb	-101.015	-87.0147	-14	0	20.5333
cav4mxo_DB8-ZINC00712251-0.pdb	-101.55	-89.0164	-12.5338	0	22.7241
cav4mxo_DB8-ZINC00720242-0.pdb	-71.83	-63.8398	-7.99016	0	17.1739
cav4mxo_DB8-ZINC00721265-0.pdb	-70.6475	-63.6475	-7	0	17.8
cav4mxo_DB8-ZINC00752577-0.pdb	-90.0992	-81.038	-9.06111	0	23.5385
cav4mxo_DB8-ZINC00814231-0.pdb	-93.7136	-77.907	-15.8066	0	19.7037
cav4mxo_DB8-ZINC00818034-0.pdb	-87.5894	-73.2712	-14.3182	0	21.5652
cav4mxo_DB8-ZINC00938972-0.pdb	-84.9098	-74.19	-10.7197	0	20.6522
cav4mxo_DB8-ZINC00945140-0.pdb	-99.2975	-95.5825	-3.71496	0	21.8214
cav4mxo_DB8-ZINC01069570-0.pdb	-92.4706	-81.2708	-11.1998	0	19.1071
cav4mxo_DB8-ZINC01084150-0.pdb	-81.825	-72.5852	-10.0097	0.769923	16.6774
cav4mxo_DB8-ZINC01103341-0.pdb	-82.8562	-68.8557	-14.0006	0	20.4783
cav4mxo_DB8-ZINC01108522-0.pdb	-86.2663	-72.2663	-14	0	17.1034
cav4mxo_DB8-ZINC01396551-0.pdb	-82.9163	-76.6183	-6.29799	0	20.7778
cav4mxo_DB8-ZINC01620212-0.pdb	-75.9363	-58.5739	-17.3625	0	22.8824
cav4mxo_DB8-ZINC01641824-0.pdb	-87.3667	-80.2398	-7.12695	0	17.9697
