#Ligand;TotalEnergy;keterangan
cav4mxo_DB8-ZINC36308143-0.pdb;-123.686;0
cav4mxo_DB8-ZINC39345400-0.pdb;-122.565;0
cav4mxo_DB8-ZINC36203681-0.pdb;-121.57;0
cav4mxo_DB8-ZINC16663386-0.pdb;-119.756;0
cav4mxo_DB8-CHEMBL1088681-0.pdb;-117.631;1
cav4mxo_DB8-ZINC02188849-0.pdb;-117.039;0
cav4mxo_DB8-ZINC40014732-0.pdb;-115.657;0
cav4mxo_DB8-ZINC09641151-0.pdb;-115.07;0
cav4mxo_DB8-ZINC39534036-0.pdb;-114.49;0
cav4mxo_DB8-ZINC36357223-0.pdb;-114.304;0
cav4mxo_DB8-CHEMBL339893-0.pdb;-113.903;1
cav4mxo_DB8-CHEMBL360499-0.pdb;-113.445;1
cav4mxo_DB8-CHEMBL211647-0.pdb;-113.298;1
cav4mxo_DB8-ZINC08854899-0.pdb;-112.683;0
cav4mxo_DB8-ZINC39964806-0.pdb;-112.584;0
cav4mxo_DB8-ZINC13352189-0.pdb;-112.383;0
cav4mxo_DB8-ZINC64871093-0.pdb;-112.341;0
cav4mxo_DB8-ZINC01875342-0.pdb;-112.199;0
cav4mxo_DB8-ZINC39597956-0.pdb;-112.099;0
cav4mxo_DB8-ZINC01922677-0.pdb;-112.06;0
cav4mxo_DB8-ZINC39711172-0.pdb;-111.386;0
cav4mxo_DB8-ZINC13577113-0.pdb;-111.1;0
cav4mxo_DB8-ZINC09434028-0.pdb;-111.038;0
cav4mxo_DB8-CHEMBL172518-0.pdb;-110.698;1
cav4mxo_DB8-ZINC12401685-0.pdb;-110.491;0
cav4mxo_DB8-ZINC63920008-0.pdb;-110.355;0
cav4mxo_DB8-ZINC09337445-0.pdb;-110.246;0
cav4mxo_DB8-ZINC39855037-0.pdb;-110.237;0
cav4mxo_DB8-ZINC40739283-0.pdb;-110.201;0
cav4mxo_DB8-ZINC20812950-0.pdb;-109.787;0
cav4mxo_DB8-ZINC02393148-0.pdb;-109.735;0
cav4mxo_DB8-ZINC39530001-0.pdb;-109.557;0
cav4mxo_DB8-CHEMBL101081-0.pdb;-109.399;1
cav4mxo_DB8-ZINC13395577-0.pdb;-109.39;0
cav4mxo_DB8-CHEMBL418284-0.pdb;-109.309;1
cav4mxo_DB8-ZINC13127840-0.pdb;-109.286;0
cav4mxo_DB8-CHEMBL566577-0.pdb;-109.174;1
cav4mxo_DB8-ZINC16026634-0.pdb;-109.106;0
cav4mxo_DB8-ZINC36202351-0.pdb;-109.097;0
cav4mxo_DB8-CHEMBL102595-0.pdb;-109.075;1
cav4mxo_DB8-CHEMBL59850-0.pdb;-108.904;1
cav4mxo_DB8-ZINC38903672-0.pdb;-108.902;0
cav4mxo_DB8-CHEMBL290921-0.pdb;-108.66;1
cav4mxo_DB8-ZINC38776536-0.pdb;-108.653;0
cav4mxo_DB8-ZINC35780702-0.pdb;-108.573;0
cav4mxo_DB8-ZINC40008305-0.pdb;-108.453;0
cav4mxo_DB8-ZINC08442121-0.pdb;-108.423;0
cav4mxo_DB8-CHEMBL211079-0.pdb;-108.313;1
cav4mxo_DB8-ZINC40008952-0.pdb;-108.298;0
cav4mxo_DB8-ZINC39690471-0.pdb;-108.125;0
cav4mxo_DB8-ZINC13244699-0.pdb;-108.091;0
cav4mxo_DB8-ZINC63204483-0.pdb;-108.04;0
cav4mxo_DB8-ZINC40111113-0.pdb;-108.022;0
cav4mxo_DB8-ZINC64871246-0.pdb;-107.982;0
cav4mxo_DB8-CHEMBL1088680-0.pdb;-107.967;1
cav4mxo_DB8-ZINC04211012-0.pdb;-107.692;0
cav4mxo_DB8-ZINC15957521-0.pdb;-107.678;0
cav4mxo_DB8-ZINC13431203-0.pdb;-107.636;0
cav4mxo_DB8-ZINC35778919-0.pdb;-107.502;0
cav4mxo_DB8-ZINC24882696-0.pdb;-107.494;0
cav4mxo_DB8-ZINC05399309-0.pdb;-107.468;0
cav4mxo_DB8-ZINC09252792-0.pdb;-107.323;0
