#C:/Users/KIMED 1/Documents/Junaidin/iGEMDOCKv2.1/output/extracted_cav/cav4mxo_DB8.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav4mxo_DB8-dasatinib-0.pdb	-112.125	-105.2	-6.92491	0	20.7879
cav4mxo_DB8-28-0.pdb	-78.6756	-70.2217	-8.45389	0	27.6316
cav4mxo_DB8-303-0.pdb	-56.6587	-56.6587	0	0	12.7778
cav4mxo_DB8-524-0.pdb	-79.6829	-71.8982	-7.78471	0	27.7647
cav4mxo_DB8-578-0.pdb	-96.2553	-90.3528	-5.9025	0	15.5263
cav4mxo_DB8-792-0.pdb	-85.5772	-78.5772	-7	0	27.2105
cav4mxo_DB8-1159-0.pdb	-104.806	-91.9078	-12.8979	0	23.5556
cav4mxo_DB8-1190-0.pdb	-89.8303	-89.8303	0	0	23.4615
cav4mxo_DB8-1438-0.pdb	-83.6271	-80.1271	-3.5	0	19.5185
cav4mxo_DB8-1501-0.pdb	-83.2386	-76.2386	-7	0	25.05
cav4mxo_DB8-1733-0.pdb	-84.8671	-84.8671	0	0	19.84
cav4mxo_DB8-1781-0.pdb	-88.4012	-78.1432	-10.258	0	19.4615
cav4mxo_DB8-9501716-0.pdb	-76.5744	-64.8311	-11.7433	0	18.5417
cav4mxo_DB8-13230341-0.pdb	-92.4245	-87.5716	-4.85291	0	22.1786
cav4mxo_DB8-13230342-0.pdb	-96.4174	-83.7118	-12.7056	0	20.1429
cav4mxo_DB8-21826123-0.pdb	-79.2779	-75.7779	-3.5	0	19.24
cav4mxo_DB8-33236591-0.pdb	-89.6869	-69.425	-20.2619	0	20
cav4mxo_DB8-34007762-0.pdb	-77.4624	-63.0825	-14.3799	0	16.88
cav4mxo_DB8-38449852-0.pdb	-95.0017	-81.1199	-13.8819	0	16.1563
cav4mxo_DB8-48271614-0.pdb	-84.2583	-71.0107	-13.2476	0	19.8077
cav4mxo_DB8-48299079-0.pdb	-85.0983	-74.5983	-10.5	0	18.1538
cav4mxo_DB8-61056455-0.pdb	-89.7763	-89.7763	0	0	21
cav4mxo_DB8-63248158-0.pdb	-95.2613	-84.8741	-10.3872	0	24.5417
cav4mxo_DB8-66066361-0.pdb	-117.539	-103.415	-14.1241	0	18.525
cav4mxo_DB8-72315533-0.pdb	-99.096	-78.8262	-20.2698	0	15.9412
cav4mxo_DB8-74423080-0.pdb	-94.4497	-89.9716	-4.47817	0	26.3462
cav4mxo_DB8-74463386-0.pdb	-84.6508	-81.1508	-3.5	0	21
cav4mxo_DB8-78452518-0.pdb	-78.7272	-65.9754	-12.7518	0	26.4737
cav4mxo_DB8-78650994-0.pdb	-81.3928	-60.4392	-20.9537	0	18.4545
cav4mxo_DB8-80443341-0.pdb	-78.543	-72.543	-6	0	24.3
cav4mxo_DB8-80443347-0.pdb	-81.3066	-71.2408	-10.0658	0	22.2174
cav4mxo_DB8-90092964-0.pdb	-92.6797	-71.1428	-21.5369	0	24.2609
